position=< 51781,  41361> velocity=<-5, -4>
position=< 51761,  31057> velocity=<-5, -3>
position=<-51388,  20740> velocity=< 5, -2>
position=<-41087, -10196> velocity=< 4,  1>
position=<-20460, -41127> velocity=< 2,  4>
position=<-30747, -51444> velocity=< 3,  5>
position=< 20805,  51678> velocity=<-2, -5>
position=<-30759,  51680> velocity=< 3, -5>
position=< 31140, -30824> velocity=<-3,  3>
position=< 20841,  41368> velocity=<-2, -4>
position=< 10532,  41365> velocity=<-1, -4>
position=<-30735, -41132> velocity=< 3,  4>
position=<-20411,  51678> velocity=< 2, -5>
position=<-10119, -20511> velocity=< 1,  2>
position=<-20439,  31052> velocity=< 2, -3>
position=< 20794,  41363> velocity=<-2, -4>
position=<-20436,  20736> velocity=< 2, -2>
position=< 51769, -51448> velocity=<-5,  5>
position=<-20422,  20741> velocity=< 2, -2>
position=<-51375,  31048> velocity=< 5, -3>
position=< 20846, -10193> velocity=<-2,  1>
position=< 31154, -51447> velocity=<-3,  5>
position=<-41087, -20511> velocity=< 4,  2>
position=<-41063,  20741> velocity=< 4, -2>
position=<-10134,  20745> velocity=< 1, -2>
position=< 31129,  20743> velocity=<-3, -2>
position=< 31156, -30824> velocity=<-3,  3>
position=< 31142,  31055> velocity=<-3, -3>
position=< 41417,  41360> velocity=<-4, -4>
position=<-20450, -20511> velocity=< 2,  2>
position=< 51770, -30822> velocity=<-5,  3>
position=< 41410, -30815> velocity=<-4,  3>
position=< 41451,  10429> velocity=<-4, -1>
position=<-20431, -41136> velocity=< 2,  4>
position=<-51371,  20736> velocity=< 5, -2>
position=< 20809, -20510> velocity=<-2,  2>
position=< 10507, -41133> velocity=<-1,  4>
position=<-20418,  31051> velocity=< 2, -3>
position=<-20431, -20508> velocity=< 2,  2>
position=<-20429, -30818> velocity=< 2,  3>
position=< 20817, -20512> velocity=<-2,  2>
position=<-20421,  41360> velocity=< 2, -4>
position=<-20439,  10426> velocity=< 2, -1>
position=<-10102, -30817> velocity=< 1,  3>
position=< 20826, -20511> velocity=<-2,  2>
position=< 31117, -30819> velocity=<-3,  3>
position=<-10090,  41365> velocity=< 1, -4>
position=<-30751, -51442> velocity=< 3,  5>
position=<-30730,  31057> velocity=< 3, -3>
position=<-30751,  10427> velocity=< 3, -1>
position=<-20414,  10426> velocity=< 2, -1>
position=<-30765, -51443> velocity=< 3,  5>
position=< 31155,  31048> velocity=<-3, -3>
position=< 20813,  10428> velocity=<-2, -1>
position=< 31123,  51676> velocity=<-3, -5>
position=< 51734,  51672> velocity=<-5, -5>
position=< 31137,  41365> velocity=<-3, -4>
position=< 51737, -20505> velocity=<-5,  2>
position=<-41087,  41360> velocity=< 4, -4>
position=< 41417,  41368> velocity=<-4, -4>
position=< 31129,  20740> velocity=<-3, -2>
position=< 51745,  51681> velocity=<-5, -5>
position=< 20834, -51445> velocity=<-2,  5>
position=< 51745, -30816> velocity=<-5,  3>
position=<-41044, -30819> velocity=< 4,  3>
position=<-10124,  20740> velocity=< 1, -2>
position=<-30743, -20511> velocity=< 3,  2>
position=< 20812,  10428> velocity=<-2, -1>
position=<-41087,  31056> velocity=< 4, -3>
position=< 41468, -20512> velocity=<-4,  2>
position=< 51771, -10195> velocity=<-5,  1>
position=< 20801,  10432> velocity=<-2, -1>
position=<-41079, -10200> velocity=< 4,  1>
position=<-10140, -30820> velocity=< 1,  3>
position=<-30756,  10424> velocity=< 3, -1>
position=< 41409,  41366> velocity=<-4, -4>
position=<-10127,  31053> velocity=< 1, -3>
position=<-30751,  10425> velocity=< 3, -1>
position=<-51359, -41134> velocity=< 5,  4>
position=< 41462, -51440> velocity=<-4,  5>
position=<-30751, -30817> velocity=< 3,  3>
position=< 10497, -41128> velocity=<-1,  4>
position=<-20402, -30821> velocity=< 2,  3>
position=< 51782, -30822> velocity=<-5,  3>
position=<-20439, -30823> velocity=< 2,  3>
position=<-20406,  51677> velocity=< 2, -5>
position=< 31133,  10432> velocity=<-3, -1>
position=<-41087, -41134> velocity=< 4,  4>
position=<-20404,  51677> velocity=< 2, -5>
position=<-20422, -20507> velocity=< 2,  2>
position=<-41043, -30823> velocity=< 4,  3>
position=< 20785, -30817> velocity=<-2,  3>
position=<-51387, -10193> velocity=< 5,  1>
position=< 10513, -41133> velocity=<-1,  4>
position=<-10095,  41365> velocity=< 1, -4>
position=<-51379, -51440> velocity=< 5,  5>
position=< 31146, -30818> velocity=<-3,  3>
position=< 31106, -30818> velocity=<-3,  3>
position=< 31130,  41364> velocity=<-3, -4>
position=<-51379, -20510> velocity=< 5,  2>
position=<-30739,  10425> velocity=< 3, -1>
position=<-20443,  41364> velocity=< 2, -4>
position=< 20793,  51673> velocity=<-2, -5>
position=<-51343, -20506> velocity=< 5,  2>
position=<-20407,  51679> velocity=< 2, -5>
position=< 31106, -20510> velocity=<-3,  2>
position=<-10098, -51448> velocity=< 1,  5>
position=<-41052, -51441> velocity=< 4,  5>
position=<-20402, -20507> velocity=< 2,  2>
position=< 31129,  51677> velocity=<-3, -5>
position=< 20834,  41363> velocity=<-2, -4>
position=<-41075, -41134> velocity=< 4,  4>
position=< 10478,  41369> velocity=<-1, -4>
position=<-41083,  31057> velocity=< 4, -3>
position=< 10518, -30816> velocity=<-1,  3>
position=< 31129,  51678> velocity=<-3, -5>
position=< 51741, -30823> velocity=<-5,  3>
position=< 41429,  10425> velocity=<-4, -1>
position=<-20439, -30822> velocity=< 2,  3>
position=< 20806, -41136> velocity=<-2,  4>
position=<-41050, -10191> velocity=< 4,  1>
position=< 51737, -41129> velocity=<-5,  4>
position=< 41433, -51439> velocity=<-4,  5>
position=< 51756, -20510> velocity=<-5,  2>
position=< 51766,  51679> velocity=<-5, -5>
position=<-30723,  10427> velocity=< 3, -1>
position=< 41470,  31051> velocity=<-4, -3>
position=< 20829, -20507> velocity=<-2,  2>
position=< 41460,  31053> velocity=<-4, -3>
position=<-51359, -51442> velocity=< 5,  5>
position=< 31113, -41128> velocity=<-3,  4>
position=<-20415, -20504> velocity=< 2,  2>
position=<-20438,  41364> velocity=< 2, -4>
position=<-51363,  10432> velocity=< 5, -1>
position=<-30714,  10431> velocity=< 3, -1>
position=<-20402,  20743> velocity=< 2, -2>
position=<-20450,  51680> velocity=< 2, -5>
position=< 51732, -30819> velocity=<-5,  3>
position=<-51370, -41136> velocity=< 5,  4>
position=< 10485,  51675> velocity=<-1, -5>
position=< 20829,  51673> velocity=<-2, -5>
position=< 10524,  31053> velocity=<-1, -3>
position=< 10513,  31052> velocity=<-1, -3>
position=<-30756,  20745> velocity=< 3, -2>
position=< 20817,  20745> velocity=<-2, -2>
position=< 41465, -30817> velocity=<-4,  3>
position=< 20809,  41367> velocity=<-2, -4>
position=< 31116,  31057> velocity=<-3, -3>
position=<-20426,  20736> velocity=< 2, -2>
position=<-30738, -41136> velocity=< 3,  4>
position=<-41078, -41130> velocity=< 4,  4>
position=<-30751, -10192> velocity=< 3,  1>
position=< 31146,  41362> velocity=<-3, -4>
position=<-30730, -51442> velocity=< 3,  5>
